KEY,06-26-2018,09-13-2018,02-26-2019,06-25-2019,under_30,under_60,new_voter,four_x,four_x_under_30,four_x_under_60,skipped_patel,age_in_02-26-2019,age_in_06-25-2019,age_in_09-13-2018,age_in_06-26-2018
30038,78,107,65,85,21,124,13,24,2,20,47,46.369846153846176,43.097529411764725,44.65383177570091,42.55923076923077
30056,80,100,58,106,13,125,21,30,2,24,36,46.13327586206896,44.23556603773586,43.84969999999999,44.379500000000014
30064,30,56,27,56,16,64,12,11,1,11,32,43.15222222222222,42.91732142857143,43.24375000000001,43.05700000000001
30066,76,109,70,116,22,123,18,31,3,26,45,43.93585714285713,43.635172413793114,44.648073394495434,42.91447368421052
30067,58,83,55,77,20,109,16,18,1,15,36,42.90636363636363,43.011558441558435,46.532771084337355,43.430862068965524
30068,74,132,70,127,29,153,22,25,5,18,66,46.27671428571427,42.434566929133865,44.319166666666675,43.72283783783783
30069,88,119,57,100,19,112,15,25,2,15,44,52.38807017543859,47.2221,49.56193277310922,47.93386363636364
30078,25,56,39,63,17,71,11,9,1,9,35,41.18051282051282,41.33920634920635,40.51178571428572,38.0304
30079,84,94,65,75,23,136,12,25,4,22,32,44.23753846153845,40.90093333333335,41.65393617021276,40.09083333333335
36001,191,242,158,214,19,134,19,106,3,40,64,58.806708860759485,55.46771028037378,57.90628099173556,58.37031413612565
36002,104,143,86,108,5,77,9,40,1,12,52,63.125697674418596,58.295740740740754,60.7744755244755,61.214807692307694
36003,41,59,39,64,14,76,16,16,3,14,25,41.736666666666665,40.448125000000005,40.38000000000001,39.633414634146334
36004,73,102,60,107,31,123,14,26,3,21,48,42.94600000000001,39.86934579439252,39.40892156862744,44.14931506849315
36005,70,106,76,109,25,127,16,35,4,28,47,44.75671052631577,41.00614678899084,41.745094339622646,43.016
36006,70,138,91,129,40,157,19,28,8,25,76,41.6821978021978,39.37062015503874,42.77536231884056,45.21057142857145
36007,57,83,46,100,31,117,20,21,5,19,36,38.77152173913044,36.389599999999994,40.50024096385542,39.12684210526316
36008,80,126,86,120,16,124,20,36,2,22,61,50.23,48.75791666666669,50.14396825396824,50.574625
36009,40,64,46,62,15,65,11,20,1,16,30,46.160869565217396,43.73290322580643,45.10828125000001,44.346999999999994
36010,55,88,53,87,16,102,17,18,2,15,40,45.95226415094339,42.71298850574712,43.43920454545456,40.347636363636376
36011,55,93,67,70,19,105,10,15,4,10,46,52.09089552238806,45.25628571428573,47.46430107526881,46.566181818181825
36012,80,106,60,97,28,140,23,25,2,22,35,42.93366666666667,40.56969072164949,41.60650943396225,38.80375
36013,90,116,73,111,25,131,20,25,4,18,49,46.12890410958906,43.83828828828829,47.014741379310344,43.5901111111111
36014,58,90,60,81,24,99,16,14,4,9,43,58.14700000000001,47.13432098765432,46.248666666666665,45.271206896551725
36015,64,104,52,95,42,131,23,19,5,18,47,40.423846153846156,36.92905263157895,41.59192307692307,42.1359375
36016,75,108,70,129,28,154,28,24,5,21,45,41.228285714285704,39.317984496124005,39.024166666666666,37.522666666666694
36017,101,134,80,136,37,169,26,32,7,26,47,44.05575000000002,40.004632352941165,40.69179104477613,41.455940594059406
36018,89,127,79,122,37,154,19,28,3,26,55,43.63556962025318,40.25598360655737,39.466850393700796,40.73438202247191
36019,76,114,70,110,34,138,20,29,5,23,53,42.8312857142857,40.86236363636364,40.624035087719314,42.69973684210525
36020,84,139,79,131,35,145,22,29,4,19,66,48.96936708860759,43.03290076335878,45.47697841726618,46.34857142857142
36021,102,144,92,143,35,164,21,35,4,30,60,43.162608695652175,40.629300699300714,43.13937500000001,41.104509803921566
36022,84,133,57,129,35,154,22,21,1,18,60,43.30877192982456,42.113643410852696,42.89736842105265,42.48321428571428
36023,51,74,34,70,19,95,10,14,2,14,32,42.0970588235294,37.09971428571429,36.584999999999994,37.916862745098044
36024,71,102,52,86,37,127,16,19,2,16,38,41.61826923076923,35.734883720930235,38.42147058823528,37.44014084507043
36025,57,96,44,92,21,103,16,18,2,10,47,45.94136363636364,43.10152173913043,44.811770833333334,46.18157894736843
36045,89,105,65,96,20,124,16,26,2,18,38,50.07000000000001,45.10677083333334,44.87638095238095,44.879775280898876
