"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of February 1, 2019",,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
,,,,,,,,,,,,,
Kings ,Kings 41001,Active,468,150,2,1,3,0,22,0,1,206,853
Kings ,Kings 41001,Inactive,33,11,1,0,0,0,2,0,0,24,71
Kings ,Kings 41001,Total,501,161,3,1,3,0,24,0,1,230,924
,,,,,,,,,,,,,
Kings ,Kings 41002,Active,460,218,4,0,0,0,8,0,0,199,889
Kings ,Kings 41002,Inactive,43,14,0,0,0,0,1,0,0,20,78
Kings ,Kings 41002,Total,503,232,4,0,0,0,9,0,0,219,967
,,,,,,,,,,,,,
Kings ,Kings 41003,Active,566,211,7,1,2,0,24,0,0,231,"1,042"
Kings ,Kings 41003,Inactive,71,10,1,0,1,0,4,0,0,26,113
Kings ,Kings 41003,Total,637,221,8,1,3,0,28,0,0,257,"1,155"
,,,,,,,,,,,,,
Kings ,Kings 41004,Active,414,171,2,0,0,1,14,0,0,271,873
Kings ,Kings 41004,Inactive,55,15,0,0,0,0,2,0,0,20,92
Kings ,Kings 41004,Total,469,186,2,0,0,1,16,0,0,291,965
,,,,,,,,,,,,,
Kings ,Kings 41005,Active,441,189,6,1,2,2,17,0,0,195,853
Kings ,Kings 41005,Inactive,37,18,0,0,0,0,1,0,0,16,72
Kings ,Kings 41005,Total,478,207,6,1,2,2,18,0,0,211,925
,,,,,,,,,,,,,
Kings ,Kings 41006,Active,463,188,4,2,1,2,24,0,0,295,979
Kings ,Kings 41006,Inactive,35,14,0,0,0,0,2,0,0,22,73
Kings ,Kings 41006,Total,498,202,4,2,1,2,26,0,0,317,"1,052"
,,,,,,,,,,,,,
Kings ,Kings 41007,Active,563,180,4,2,1,1,24,0,0,309,"1,084"
Kings ,Kings 41007,Inactive,57,17,0,0,0,0,3,0,0,26,103
Kings ,Kings 41007,Total,620,197,4,2,1,1,27,0,0,335,"1,187"
,,,,,,,,,,,,,
Kings ,Kings 41008,Active,465,222,10,1,2,1,28,0,1,282,"1,012"
Kings ,Kings 41008,Inactive,48,19,0,0,0,1,2,0,0,30,100
Kings ,Kings 41008,Total,513,241,10,1,2,2,30,0,1,312,"1,112"
,,,,,,,,,,,,,
Kings ,Kings 41009,Active,455,251,12,5,0,0,25,0,0,256,"1,004"
Kings ,Kings 41009,Inactive,33,15,1,1,0,0,1,0,0,25,76
Kings ,Kings 41009,Total,488,266,13,6,0,0,26,0,0,281,"1,080"
,,,,,,,,,,,,,
Kings ,Kings 41010,Active,308,157,0,4,0,0,9,0,1,217,696
Kings ,Kings 41010,Inactive,10,2,0,0,0,0,1,0,0,16,29
Kings ,Kings 41010,Total,318,159,0,4,0,0,10,0,1,233,725
,,,,,,,,,,,,,
Kings ,Kings 41011,Active,172,82,1,1,0,0,9,0,0,84,349
Kings ,Kings 41011,Inactive,16,7,0,0,0,0,1,0,0,7,31
Kings ,Kings 41011,Total,188,89,1,1,0,0,10,0,0,91,380
,,,,,,,,,,,,,
Kings ,Kings 41012,Active,245,124,0,2,1,0,15,0,0,101,488
Kings ,Kings 41012,Inactive,26,9,0,0,0,0,0,0,0,16,51
Kings ,Kings 41012,Total,271,133,0,2,1,0,15,0,0,117,539
,,,,,,,,,,,,,
Kings ,Kings 41013,Active,28,8,0,0,0,0,2,0,0,10,48
Kings ,Kings 41013,Inactive,9,2,0,0,0,0,1,0,0,4,16
Kings ,Kings 41013,Total,37,10,0,0,0,0,3,0,0,14,64
,,,,,,,,,,,,,
Kings ,Kings 41014,Active,102,26,1,0,0,0,9,0,0,56,194
Kings ,Kings 41014,Inactive,6,6,0,1,0,0,0,0,0,6,19
Kings ,Kings 41014,Total,108,32,1,1,0,0,9,0,0,62,213
,,,,,,,,,,,,,
Kings ,Kings 41015,Active,122,53,0,0,1,0,4,0,0,55,235
Kings ,Kings 41015,Inactive,13,1,0,0,0,0,1,0,0,5,20
Kings ,Kings 41015,Total,135,54,0,0,1,0,5,0,0,60,255
,,,,,,,,,,,,,
Kings ,Kings 41016,Active,338,152,4,4,1,0,14,0,0,132,645
Kings ,Kings 41016,Inactive,12,8,0,0,0,0,0,0,0,13,33
Kings ,Kings 41016,Total,350,160,4,4,1,0,14,0,0,145,678
,,,,,,,,,,,,,
Kings ,Kings 41017,Active,447,243,8,0,0,2,24,0,0,186,910
Kings ,Kings 41017,Inactive,21,12,1,0,0,0,2,0,0,9,45
Kings ,Kings 41017,Total,468,255,9,0,0,2,26,0,0,195,955
,,,,,,,,,,,,,
Kings ,Kings 41018,Active,289,190,5,0,0,0,10,0,0,126,620
Kings ,Kings 41018,Inactive,14,9,0,0,0,0,0,0,0,10,33
Kings ,Kings 41018,Total,303,199,5,0,0,0,10,0,0,136,653
,,,,,,,,,,,,,
Kings ,Kings 41019,Active,53,30,3,0,0,0,4,0,0,28,118
Kings ,Kings 41019,Inactive,3,0,0,0,0,0,0,0,0,1,4
Kings ,Kings 41019,Total,56,30,3,0,0,0,4,0,0,29,122
,,,,,,,,,,,,,
Kings ,Kings 41020,Active,431,93,2,2,0,0,11,0,0,123,662
Kings ,Kings 41020,Inactive,19,6,0,0,0,0,1,0,0,10,36
Kings ,Kings 41020,Total,450,99,2,2,0,0,12,0,0,133,698
,,,,,,,,,,,,,
