"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of November 1, 2018",,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
,,,,,,,,,,,,,
Kings ,Kings 41001,Active,465,147,2,3,1,22,0,0,0,200,840
Kings ,Kings 41001,Inactive,34,12,1,0,0,2,0,0,0,25,74
Kings ,Kings 41001,Total,499,159,3,3,1,24,0,0,0,225,914
,,,,,,,,,,,,,
Kings ,Kings 41002,Active,455,216,4,0,0,8,0,0,0,193,876
Kings ,Kings 41002,Inactive,44,14,0,0,0,1,0,0,0,21,80
Kings ,Kings 41002,Total,499,230,4,0,0,9,0,0,0,214,956
,,,,,,,,,,,,,
Kings ,Kings 41003,Active,560,205,6,3,1,26,0,0,0,225,"1,026"
Kings ,Kings 41003,Inactive,74,10,1,1,0,4,0,0,0,26,116
Kings ,Kings 41003,Total,634,215,7,4,1,30,0,0,0,251,"1,142"
,,,,,,,,,,,,,
Kings ,Kings 41004,Active,409,169,2,0,0,15,0,0,1,264,860
Kings ,Kings 41004,Inactive,56,15,0,0,0,2,0,0,0,21,94
Kings ,Kings 41004,Total,465,184,2,0,0,17,0,0,1,285,954
,,,,,,,,,,,,,
Kings ,Kings 41005,Active,439,188,6,2,1,17,0,0,2,197,852
Kings ,Kings 41005,Inactive,37,18,0,0,0,1,0,0,0,16,72
Kings ,Kings 41005,Total,476,206,6,2,1,18,0,0,2,213,924
,,,,,,,,,,,,,
Kings ,Kings 41006,Active,454,186,4,1,2,23,0,0,2,290,962
Kings ,Kings 41006,Inactive,38,16,1,0,0,2,0,0,0,23,80
Kings ,Kings 41006,Total,492,202,5,1,2,25,0,0,2,313,"1,042"
,,,,,,,,,,,,,
Kings ,Kings 41007,Active,552,174,4,1,2,24,0,0,1,299,"1,057"
Kings ,Kings 41007,Inactive,61,18,0,0,0,3,0,0,0,27,109
Kings ,Kings 41007,Total,613,192,4,1,2,27,0,0,1,326,"1,166"
,,,,,,,,,,,,,
Kings ,Kings 41008,Active,460,224,10,2,2,32,0,0,1,276,"1,007"
Kings ,Kings 41008,Inactive,49,19,0,0,0,2,0,0,1,31,102
Kings ,Kings 41008,Total,509,243,10,2,2,34,0,0,2,307,"1,109"
,,,,,,,,,,,,,
Kings ,Kings 41009,Active,451,250,12,0,5,26,0,0,0,253,997
Kings ,Kings 41009,Inactive,33,15,1,0,1,1,0,0,0,25,76
Kings ,Kings 41009,Total,484,265,13,0,6,27,0,0,0,278,"1,073"
,,,,,,,,,,,,,
Kings ,Kings 41010,Active,301,156,0,0,4,11,1,0,0,210,683
Kings ,Kings 41010,Inactive,13,2,0,0,0,1,0,0,0,16,32
Kings ,Kings 41010,Total,314,158,0,0,4,12,1,0,0,226,715
,,,,,,,,,,,,,
Kings ,Kings 41011,Active,168,77,1,0,0,9,0,0,0,89,344
Kings ,Kings 41011,Inactive,16,8,0,0,0,1,0,0,0,7,32
Kings ,Kings 41011,Total,184,85,1,0,0,10,0,0,0,96,376
,,,,,,,,,,,,,
Kings ,Kings 41012,Active,244,125,0,1,2,14,0,0,0,99,485
Kings ,Kings 41012,Inactive,26,10,0,0,0,0,0,0,0,16,52
Kings ,Kings 41012,Total,270,135,0,1,2,14,0,0,0,115,537
,,,,,,,,,,,,,
Kings ,Kings 41013,Active,28,8,0,0,0,2,0,0,0,10,48
Kings ,Kings 41013,Inactive,9,2,0,0,0,1,0,0,0,4,16
Kings ,Kings 41013,Total,37,10,0,0,0,3,0,0,0,14,64
,,,,,,,,,,,,,
Kings ,Kings 41014,Active,97,27,1,0,0,9,0,0,0,55,189
Kings ,Kings 41014,Inactive,6,6,0,0,1,0,0,0,0,6,19
Kings ,Kings 41014,Total,103,33,1,0,1,9,0,0,0,61,208
,,,,,,,,,,,,,
Kings ,Kings 41015,Active,121,51,0,1,0,3,0,0,0,47,223
Kings ,Kings 41015,Inactive,13,1,0,0,0,1,0,0,0,5,20
Kings ,Kings 41015,Total,134,52,0,1,0,4,0,0,0,52,243
,,,,,,,,,,,,,
Kings ,Kings 41016,Active,334,147,4,1,4,16,0,0,0,128,634
Kings ,Kings 41016,Inactive,13,8,0,0,0,0,0,0,0,13,34
Kings ,Kings 41016,Total,347,155,4,1,4,16,0,0,0,141,668
,,,,,,,,,,,,,
Kings ,Kings 41017,Active,442,244,8,0,0,22,0,0,2,184,902
Kings ,Kings 41017,Inactive,22,12,1,0,0,2,0,0,0,10,47
Kings ,Kings 41017,Total,464,256,9,0,0,24,0,0,2,194,949
,,,,,,,,,,,,,
Kings ,Kings 41018,Active,291,188,5,0,0,10,0,0,0,122,616
Kings ,Kings 41018,Inactive,14,10,0,0,0,0,0,0,0,10,34
Kings ,Kings 41018,Total,305,198,5,0,0,10,0,0,0,132,650
,,,,,,,,,,,,,
Kings ,Kings 41019,Active,56,30,2,0,0,4,0,0,0,27,119
Kings ,Kings 41019,Inactive,3,0,0,0,0,0,0,0,0,1,4
Kings ,Kings 41019,Total,59,30,2,0,0,4,0,0,0,28,123
,,,,,,,,,,,,,
Kings ,Kings 41020,Active,417,91,2,0,1,12,0,0,0,129,652
