"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of February 1, 2019",,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
,,,,,,,,,,,,,
New York ,New York 65001,Active,476,147,2,0,2,3,19,0,1,267,917
New York ,New York 65001,Inactive,99,47,0,0,0,3,5,0,0,57,211
New York ,New York 65001,Total,575,194,2,0,2,6,24,0,1,324,"1,128"
,,,,,,,,,,,,,
New York ,New York 65002,Active,556,180,2,2,1,4,50,0,1,317,"1,113"
New York ,New York 65002,Inactive,119,70,0,0,0,0,21,0,0,76,286
New York ,New York 65002,Total,675,250,2,2,1,4,71,0,1,393,"1,399"
,,,,,,,,,,,,,
New York ,New York 65003,Active,541,175,0,1,0,1,32,0,0,311,"1,061"
New York ,New York 65003,Inactive,88,49,0,0,0,1,5,0,0,42,185
New York ,New York 65003,Total,629,224,0,1,0,2,37,0,0,353,"1,246"
,,,,,,,,,,,,,
New York ,New York 65004,Active,525,198,2,0,2,2,49,0,1,305,"1,084"
New York ,New York 65004,Inactive,141,65,2,0,0,1,8,0,0,92,309
New York ,New York 65004,Total,666,263,4,0,2,3,57,0,1,397,"1,393"
,,,,,,,,,,,,,
New York ,New York 65005,Active,393,73,0,0,1,1,13,0,0,168,649
New York ,New York 65005,Inactive,92,23,0,1,1,0,10,0,0,61,188
New York ,New York 65005,Total,485,96,0,1,2,1,23,0,0,229,837
,,,,,,,,,,,,,
New York ,New York 65006,Active,571,126,4,0,2,3,42,0,0,207,955
New York ,New York 65006,Inactive,73,31,2,0,2,1,4,0,0,34,147
New York ,New York 65006,Total,644,157,6,0,4,4,46,0,0,241,"1,102"
,,,,,,,,,,,,,
New York ,New York 65007,Active,498,113,3,0,1,0,20,0,0,149,784
New York ,New York 65007,Inactive,26,14,1,0,1,0,2,0,0,8,52
New York ,New York 65007,Total,524,127,4,0,2,0,22,0,0,157,836
,,,,,,,,,,,,,
New York ,New York 65008,Active,648,150,1,3,2,0,23,0,1,195,"1,023"
New York ,New York 65008,Inactive,72,26,0,0,0,0,4,0,0,25,127
New York ,New York 65008,Total,720,176,1,3,2,0,27,0,1,220,"1,150"
,,,,,,,,,,,,,
New York ,New York 65009,Active,616,123,1,0,7,2,41,0,0,275,"1,065"
New York ,New York 65009,Inactive,79,20,0,0,0,1,7,0,0,33,140
New York ,New York 65009,Total,695,143,1,0,7,3,48,0,0,308,"1,205"
,,,,,,,,,,,,,
New York ,New York 65010,Active,640,113,2,0,7,1,28,0,2,268,"1,061"
New York ,New York 65010,Inactive,100,32,1,0,0,0,7,0,0,35,175
New York ,New York 65010,Total,740,145,3,0,7,1,35,0,2,303,"1,236"
,,,,,,,,,,,,,
New York ,New York 65011,Active,429,146,6,3,0,2,34,0,3,210,833
New York ,New York 65011,Inactive,113,50,1,0,0,0,15,0,0,73,252
New York ,New York 65011,Total,542,196,7,3,0,2,49,0,3,283,"1,085"
,,,,,,,,,,,,,
New York ,New York 65012,Active,349,162,1,1,2,0,36,0,0,225,776
New York ,New York 65012,Inactive,42,29,0,0,0,0,14,0,0,40,125
New York ,New York 65012,Total,391,191,1,1,2,0,50,0,0,265,901
,,,,,,,,,,,,,
New York ,New York 65013,Active,427,145,1,2,1,3,35,0,1,202,817
New York ,New York 65013,Inactive,71,27,0,0,0,1,8,0,0,33,140
New York ,New York 65013,Total,498,172,1,2,1,4,43,0,1,235,957
,,,,,,,,,,,,,
New York ,New York 65014,Active,471,165,2,2,2,0,28,0,1,282,953
New York ,New York 65014,Inactive,69,45,0,0,0,0,14,0,0,65,193
New York ,New York 65014,Total,540,210,2,2,2,0,42,0,1,347,"1,146"
,,,,,,,,,,,,,
New York ,New York 65015,Active,478,122,0,0,2,1,37,0,2,258,900
New York ,New York 65015,Inactive,76,34,0,0,0,0,6,0,0,41,157
New York ,New York 65015,Total,554,156,0,0,2,1,43,0,2,299,"1,057"
,,,,,,,,,,,,,
New York ,New York 65016,Active,637,193,6,1,3,5,52,0,3,274,"1,174"
New York ,New York 65016,Inactive,147,67,0,0,0,1,15,0,0,85,315
