"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of November 1, 2018",,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
,,,,,,,,,,,,,
Queens ,Queens 23001,Active,388,413,45,2,2,46,0,0,1,158,"1,055"
Queens ,Queens 23001,Inactive,6,9,0,0,0,0,0,0,0,6,21
Queens ,Queens 23001,Total,394,422,45,2,2,46,0,0,1,164,"1,076"
,,,,,,,,,,,,,
Queens ,Queens 23002,Active,414,415,46,1,3,40,0,0,0,179,"1,098"
Queens ,Queens 23002,Inactive,16,9,3,0,0,1,0,0,0,6,35
Queens ,Queens 23002,Total,430,424,49,1,3,41,0,0,0,185,"1,133"
,,,,,,,,,,,,,
Queens ,Queens 23003,Active,399,385,38,0,0,45,0,0,0,179,"1,046"
Queens ,Queens 23003,Inactive,15,5,1,0,0,0,0,0,0,4,25
Queens ,Queens 23003,Total,414,390,39,0,0,45,0,0,0,183,"1,071"
,,,,,,,,,,,,,
Queens ,Queens 23004,Active,97,62,3,0,0,8,0,0,0,25,195
Queens ,Queens 23004,Inactive,1,4,1,0,0,1,0,0,0,1,8
Queens ,Queens 23004,Total,98,66,4,0,0,9,0,0,0,26,203
,,,,,,,,,,,,,
Queens ,Queens 23005,Active,409,319,15,1,3,25,0,0,1,186,959
Queens ,Queens 23005,Inactive,25,20,1,0,0,0,0,0,0,6,52
Queens ,Queens 23005,Total,434,339,16,1,3,25,0,0,1,192,"1,011"
,,,,,,,,,,,,,
Queens ,Queens 23006,Active,425,361,8,4,0,37,0,0,0,155,990
Queens ,Queens 23006,Inactive,19,7,1,0,0,1,0,0,0,8,36
Queens ,Queens 23006,Total,444,368,9,4,0,38,0,0,0,163,"1,026"
,,,,,,,,,,,,,
Queens ,Queens 23007,Active,417,338,13,1,0,35,0,0,0,144,948
Queens ,Queens 23007,Inactive,14,11,1,0,0,1,0,0,0,4,31
Queens ,Queens 23007,Total,431,349,14,1,0,36,0,0,0,148,979
,,,,,,,,,,,,,
Queens ,Queens 23008,Active,423,351,10,0,0,30,0,0,0,171,985
Queens ,Queens 23008,Inactive,16,9,1,0,0,1,0,0,0,4,31
Queens ,Queens 23008,Total,439,360,11,0,0,31,0,0,0,175,"1,016"
,,,,,,,,,,,,,
Queens ,Queens 23009,Active,461,308,18,3,0,37,0,0,0,150,977
Queens ,Queens 23009,Inactive,30,13,1,0,0,1,0,0,0,9,54
Queens ,Queens 23009,Total,491,321,19,3,0,38,0,0,0,159,"1,031"
,,,,,,,,,,,,,
Queens ,Queens 23010,Active,475,207,12,2,2,53,1,0,1,168,921
Queens ,Queens 23010,Inactive,30,13,0,0,0,0,0,0,0,12,55
Queens ,Queens 23010,Total,505,220,12,2,2,53,1,0,1,180,976
,,,,,,,,,,,,,
Queens ,Queens 23011,Active,539,275,16,5,4,50,0,0,0,209,"1,098"
Queens ,Queens 23011,Inactive,54,10,2,0,1,3,0,0,0,18,88
Queens ,Queens 23011,Total,593,285,18,5,5,53,0,0,0,227,"1,186"
,,,,,,,,,,,,,
Queens ,Queens 23012,Active,642,186,13,6,5,40,1,1,0,168,"1,062"
Queens ,Queens 23012,Inactive,73,9,0,0,3,6,0,0,0,25,116
Queens ,Queens 23012,Total,715,195,13,6,8,46,1,1,0,193,"1,178"
,,,,,,,,,,,,,
Queens ,Queens 23013,Active,581,209,13,1,4,45,1,0,1,186,"1,041"
Queens ,Queens 23013,Inactive,46,18,0,0,0,2,0,0,0,18,84
Queens ,Queens 23013,Total,627,227,13,1,4,47,1,0,1,204,"1,125"
,,,,,,,,,,,,,
Queens ,Queens 23014,Active,615,265,11,3,3,48,2,0,0,179,"1,126"
Queens ,Queens 23014,Inactive,35,11,1,1,0,6,0,0,0,14,68
Queens ,Queens 23014,Total,650,276,12,4,3,54,2,0,0,193,"1,194"
,,,,,,,,,,,,,
Queens ,Queens 23015,Active,390,116,3,0,2,19,0,0,0,133,663
Queens ,Queens 23015,Inactive,22,4,0,1,0,1,0,0,1,11,40
Queens ,Queens 23015,Total,412,120,3,1,2,20,0,0,1,144,703
,,,,,,,,,,,,,
Queens ,Queens 23016,Active,421,104,0,1,3,24,2,0,0,141,696
Queens ,Queens 23016,Inactive,21,3,1,0,1,0,0,0,0,5,31
Queens ,Queens 23016,Total,442,107,1,1,4,24,2,0,0,146,727
,,,,,,,,,,,,,
Queens ,Queens 23017,Active,445,105,3,0,2,27,0,0,0,134,716
Queens ,Queens 23017,Inactive,24,1,0,0,0,1,0,0,0,6,32
Queens ,Queens 23017,Total,469,106,3,0,2,28,0,0,0,140,748
,,,,,,,,,,,,,
Queens ,Queens 23018,Active,753,44,3,2,4,16,2,0,0,134,958
Queens ,Queens 23018,Inactive,78,1,0,0,2,3,0,0,0,16,100
Queens ,Queens 23018,Total,831,45,3,2,6,19,2,0,0,150,"1,058"
,,,,,,,,,,,,,
Queens ,Queens 23019,Active,501,63,5,1,1,31,0,0,0,103,705
Queens ,Queens 23019,Inactive,39,3,0,0,0,1,0,0,0,10,53
Queens ,Queens 23019,Total,540,66,5,1,1,32,0,0,0,113,758
,,,,,,,,,,,,,
Queens ,Queens 23021,Active,436,90,0,1,5,22,0,0,0,144,698
Queens ,Queens 23021,Inactive,18,1,0,0,1,2,0,0,0,8,30
Queens ,Queens 23021,Total,454,91,0,1,6,24,0,0,0,152,728
,,,,,,,,,,,,,
Queens ,Queens 23022,Inactive,1,0,0,0,0,0,0,0,0,0,1
Queens ,Queens 23022,Total,1,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,
Queens ,Queens 23023,Active,527,187,0,0,0,27,0,0,0,125,866
Queens ,Queens 23023,Inactive,56,13,1,0,0,1,0,0,0,9,80
Queens ,Queens 23023,Total,583,200,1,0,0,28,0,0,0,134,946
,,,,,,,,,,,,,
Queens ,Queens 23024,Active,730,63,2,0,1,14,1,0,0,99,910
Queens ,Queens 23024,Inactive,204,11,1,0,0,8,0,0,0,42,266
Queens ,Queens 23024,Total,934,74,3,0,1,22,1,0,0,141,"1,176"
,,,,,,,,,,,,,
Queens ,Queens 23025,Active,664,156,4,1,6,20,3,0,0,161,"1,015"
Queens ,Queens 23025,Inactive,57,11,0,0,0,0,0,0,0,16,84
Queens ,Queens 23025,Total,721,167,4,1,6,20,3,0,0,177,"1,099"
,,,,,,,,,,,,,
Queens ,Queens 23026,Active,565,112,8,2,3,17,0,0,0,79,786
Queens ,Queens 23026,Inactive,106,20,0,1,1,2,0,0,0,21,151
Queens ,Queens 23026,Total,671,132,8,3,4,19,0,0,0,100,937
,,,,,,,,,,,,,
Queens ,Queens 23027,Active,493,250,6,0,0,3,0,0,0,180,932
Queens ,Queens 23027,Inactive,34,20,0,0,0,0,0,0,0,18,72
Queens ,Queens 23027,Total,527,270,6,0,0,3,0,0,0,198,"1,004"
,,,,,,,,,,,,,
Queens ,Queens 23028,Active,592,200,9,2,0,13,0,0,0,170,986
Queens ,Queens 23028,Inactive,29,25,2,0,0,1,0,0,0,17,74
Queens ,Queens 23028,Total,621,225,11,2,0,14,0,0,0,187,"1,060"
,,,,,,,,,,,,,
Queens ,Queens 23029,Active,669,89,5,2,1,17,0,0,0,152,935
Queens ,Queens 23029,Inactive,76,10,0,0,0,2,0,0,0,15,103
Queens ,Queens 23029,Total,745,99,5,2,1,19,0,0,0,167,"1,038"
,,,,,,,,,,,,,
Queens ,Queens 23030,Active,610,113,5,1,4,18,0,0,0,129,880
Queens ,Queens 23030,Inactive,45,4,0,0,0,1,0,0,0,12,62
Queens ,Queens 23030,Total,655,117,5,1,4,19,0,0,0,141,942
,,,,,,,,,,,,,
Queens ,Queens 23031,Active,708,75,2,2,1,17,0,1,0,146,952
Queens ,Queens 23031,Inactive,59,5,0,0,1,2,0,0,0,17,84
Queens ,Queens 23031,Total,767,80,2,2,2,19,0,1,0,163,"1,036"
,,,,,,,,,,,,,
Queens ,Queens 23032,Active,423,17,2,0,3,14,0,0,0,65,524
Queens ,Queens 23032,Inactive,37,2,0,0,0,1,1,0,0,14,55
Queens ,Queens 23032,Total,460,19,2,0,3,15,1,0,0,79,579
,,,,,,,,,,,,,
Queens ,Queens 23033,Active,838,44,2,2,7,23,3,1,0,162,"1,082"
Queens ,Queens 23033,Inactive,165,5,0,1,0,7,0,0,0,38,216
Queens ,Queens 23033,Total,"1,003",49,2,3,7,30,3,1,0,200,"1,298"
,,,,,,,,,,,,,
Queens ,Queens 23034,Active,683,57,0,1,1,7,1,0,0,148,898
Queens ,Queens 23034,Inactive,72,7,0,0,1,2,0,0,0,13,95
Queens ,Queens 23034,Total,755,64,0,1,2,9,1,0,0,161,993
,,,,,,,,,,,,,
Queens ,Queens 23035,Active,673,68,4,0,2,12,0,0,1,135,895
Queens ,Queens 23035,Inactive,33,3,1,0,0,1,0,0,0,4,42
Queens ,Queens 23035,Total,706,71,5,0,2,13,0,0,1,139,937
,,,,,,,,,,,,,
Queens ,Queens 23036,Active,649,149,5,3,0,20,0,0,0,183,"1,009"
Queens ,Queens 23036,Inactive,33,7,1,0,1,0,0,0,0,12,54
Queens ,Queens 23036,Total,682,156,6,3,1,20,0,0,0,195,"1,063"
,,,,,,,,,,,,,
Queens ,Queens 23037,Active,666,148,3,3,3,19,0,1,0,159,"1,002"
Queens ,Queens 23037,Inactive,31,6,1,0,0,0,0,0,0,4,42
